{'core': 17216602120, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 10}
{'core': 38856589832, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 46, 'nodes': 574}
{'core': 1076002849, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 5, 'nodes': 7}
{'core': 38925373448, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 38, 'nodes': 252}
{'core': 39192133644, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 48, 'nodes': 48}
{'core': 1343291393, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 14}
{'core': 6450840706, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 4}
{'core': 6510280705, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 26, 'nodes': 128}
{'core': 6514343937, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 30, 'nodes': 120}
{'core': 17251713032, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 16}
{'core': 38864453642, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 80, 'nodes': 953}
{'core': 39193674882, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 72, 'nodes': 192}
{'core': 51608981512, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 80, 'nodes': 1219}
{'core': 1141522433, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 2}
{'core': 1208492548, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 2}
{'core': 1350568516, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 45, 'nodes': 177}
{'core': 6477087488, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 64, 'nodes': 390}
{'core': 6511658114, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 12}
{'core': 17221815330, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 23, 'nodes': 132}
{'core': 38856069376, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 351}
{'core': 1275658368, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 27, 'nodes': 127}
{'core': 38679904258, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 18}
{'core': 1074462752, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 23}
{'core': 17221815392, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 36, 'nodes': 331}
{'core': 1074464832, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 47}
